Test Name,Benchmark,Percentage,Max Cycle Count
0_4xgapbs,4xgapbs,0,1201580086
0_502_gcc_r,502_gcc_r,0,636890618
0_502xleela,502xleela,0,636790548
0_527_cam4_r,527_cam4_r,0,636590567
0_527xleela,527xleela,0,636710574
0_541_leela_r,541_leela_r,0,636670576
0_557_xz_r,557_xz_r,0,636770480
0_557xleela,557xleela,0,636690436
0_fill_private_microbench,fill_private_microbench,0,8487150006
0_flush_and_reload,flush_and_reload,0,627974568
90_557_xz_r,557_xz_r,90,716430467
0_noah_scs,noah_scs,0,2566020044
90_fill_private_microbench,fill_private_microbench,90,6672640005
0_program,program,0,418850055
90_557xleela,557xleela,90,716480443
90_flush_and_reload,flush_and_reload,90,627025508
0_shared_data_microbench,shared_data_microbench,0,772270014
100_502_gcc_r,502_gcc_r,100,609701103
100_502xleela,502xleela,100,608900631
100_527_cam4_r,527_cam4_r,100,609530341
100_527xleela,527xleela,100,608720482
100_541_leela_r,541_leela_r,100,608621844
100_557_xz_r,557_xz_r,100,608631476
100_557xleela,557xleela,100,609630622
100_fill_private_microbench,fill_private_microbench,100,6670880003
100_flush_and_reload,flush_and_reload,100,618343748
60_557_xz_r,557_xz_r,60,783410492
100_noah_scs,noah_scs,100,1619120042
60_557xleela,557xleela,60,784940345
60_fill_private_microbench,fill_private_microbench,60,6670910004
100_program,program,100,418380068
60_flush_and_reload,flush_and_reload,60,624613722
70_527xleela,527xleela,70,778310491
100_shared_data_microbench,shared_data_microbench,100,732930011
70_502_gcc_r,502_gcc_r,70,779800374
70_502xleela,502xleela,70,778790945
70_527_cam4_r,527_cam4_r,70,779480532
70_541_leela_r,541_leela_r,70,779730628
70_557_xz_r,557_xz_r,70,779090494
30_557xleela,557xleela,30,967711346
70_noah_scs,noah_scs,70,2676750045
70_557xleela,557xleela,70,779580584
30_fill_private_microbench,fill_private_microbench,30,8421970005
70_program,program,70,418870220
70_fill_private_microbench,fill_private_microbench,70,6670910001
30_flush_and_reload,flush_and_reload,30,622823984
70_shared_data_microbench,shared_data_microbench,70,735990027
40_502_gcc_r,502_gcc_r,40,783560375
70_flush_and_reload,flush_and_reload,70,628483301
30_557_xz_r,557_xz_r,30,966181644
40_502xleela,502xleela,40,782830386
40_527_cam4_r,527_cam4_r,40,783100391
40_527xleela,527xleela,40,783750510
40_541_leela_r,541_leela_r,40,783120393
40_557_xz_r,557_xz_r,40,782670333
40_557xleela,557xleela,40,784530717
40_fill_private_microbench,fill_private_microbench,40,6670910004
40_flush_and_reload,flush_and_reload,40,624253461
40_noah_scs,noah_scs,40,2676650049
40_program,program,40,419050053
40_shared_data_microbench,shared_data_microbench,40,735870026
10_502_gcc_r,502_gcc_r,10,1203930547
10_502xleela,502xleela,10,1204010276
10_527_cam4_r,527_cam4_r,10,1203520361
10_527xleela,527xleela,10,1203790296
10_541_leela_r,541_leela_r,10,1202350298
10_557_xz_r,557_xz_r,10,1203040333
10_fill_private_microbench,fill_private_microbench,10,8603760001
10_557xleela,557xleela,10,1202430459
10_flush_and_reload,flush_and_reload,10,616763693
10_noah_scs,noah_scs,10,3113670073
10_shared_data_microbench,shared_data_microbench,10,735910017
10_program,program,10,419840061
75_502_gcc_r,502_gcc_r,75,683511970
75_502xleela,502xleela,75,682951587
75_527_cam4_r,527_cam4_r,75,683261594
75_527xleela,527xleela,75,682231942
75_541_leela_r,541_leela_r,75,683131993
75_557_xz_r,557_xz_r,75,682260564
75_557xleela,557xleela,75,681612838
75_fill_private_microbench,fill_private_microbench,75,6670910004
75_noah_scs,noah_scs,75,1978160042
80_502_gcc_r,502_gcc_r,80,682850592
80_541_leela_r,541_leela_r,80,682932789
80_527_cam4_r,527_cam4_r,80,682611770
80_502xleela,502xleela,80,682551588
80_flush_and_reload,flush_and_reload,80,628543502
75_program,program,75,418870066
75_shared_data_microbench,shared_data_microbench,75,736010016
80_527xleela,527xleela,80,683070396
75_flush_and_reload,flush_and_reload,75,627523485
80_program,program,80,418860051
80_557_xz_r,557_xz_r,80,684110624
80_shared_data_microbench,shared_data_microbench,80,735990017
80_557xleela,557xleela,80,683221207
50_527xleela,527xleela,50,784430552
50_502xleela,502xleela,50,783930328
80_fill_private_microbench,fill_private_microbench,80,6670910004
50_502_gcc_r,502_gcc_r,50,781980291
50_fill_private_microbench,fill_private_microbench,50,6670910004
50_557_xz_r,557_xz_r,50,783240510
50_557xleela,557xleela,50,784580583
50_noah_scs,noah_scs,50,2678120047
80_noah_scs,noah_scs,80,1980060044
50_527_cam4_r,527_cam4_r,50,784380382
50_program,program,50,419020067
20_541_leela_r,541_leela_r,20,966030505
20_527xleela,527xleela,20,965660655
20_557_xz_r,557_xz_r,20,965860254
50_flush_and_reload,flush_and_reload,50,625888056
50_541_leela_r,541_leela_r,50,783200400
20_502_gcc_r,502_gcc_r,20,966560445
50_shared_data_microbench,shared_data_microbench,50,735970010
20_557xleela,557xleela,20,966110454
20_527_cam4_r,527_cam4_r,20,968312696
20_flush_and_reload,flush_and_reload,20,622355652
20_program,program,20,419450058
25_527_cam4_r,527_cam4_r,25,966410447
20_fill_private_microbench,fill_private_microbench,20,8421970005
25_557_xz_r,557_xz_r,25,966840635
20_502xleela,502xleela,20,965830584
25_502_gcc_r,502_gcc_r,25,965740325
25_502xleela,502xleela,25,965270951
20_shared_data_microbench,shared_data_microbench,20,735950035
20_noah_scs,noah_scs,20,2894730073
25_557xleela,557xleela,25,967230439
25_541_leela_r,541_leela_r,25,968170429
25_527xleela,527xleela,25,965700414
25_fill_private_microbench,fill_private_microbench,25,8421970005
25_flush_and_reload,flush_and_reload,25,622142345
0_gapbs_all_cores,gapbs_all_cores,0,4715000042
90_527_cam4_r,527_cam4_r,90,716370459
90_502_gcc_r,502_gcc_r,90,716110465
25_shared_data_microbench,shared_data_microbench,25,735830010
