Test Name,Benchmark,Percentage,Max Cycle Count
0_4xgapbs,4xgapbs,0,12194350084
0_502_gcc_r,502_gcc_r,0,1399012873
0_502xleela,502xleela,0,1399012811
0_527_cam4_r,527_cam4_r,0,1399012848
0_527xleela,527xleela,0,1399012738
0_541_leela_r,541_leela_r,0,1399012799
0_557_xz_r,557_xz_r,0,1399012848
0_557xleela,557xleela,0,1399012804
0_fill_private_microbench,fill_private_microbench,0,80935810005
0_flush_and_reload,flush_and_reload,0,628717680
0_noah_scs,noah_scs,0,27622840048
0_program,program,0,12162912149
0_shared_data_microbench,shared_data_microbench,0,7738730015
100_502_gcc_r,502_gcc_r,100,1379012176
100_502xleela,502xleela,100,1379012497
100_527_cam4_r,527_cam4_r,100,1379012320
100_527xleela,527xleela,100,1379012257
100_541_leela_r,541_leela_r,100,1379011997
100_557_xz_r,557_xz_r,100,1379012095
100_557xleela,557xleela,100,1379012233
100_fill_private_microbench,fill_private_microbench,100,66704210006
100_noah_scs,noah_scs,100,17034380038
100_flush_and_reload,flush_and_reload,100,617840000
100_program,program,100,11748962252
100_shared_data_microbench,shared_data_microbench,100,7324500016
70_502_gcc_r,502_gcc_r,70,1704012137
70_557_xz_r,557_xz_r,70,1704010166
70_502xleela,502xleela,70,1704011490
70_527xleela,527xleela,70,1704011610
70_527_cam4_r,527_cam4_r,70,1704011712
70_541_leela_r,541_leela_r,70,1704010379
70_557xleela,557xleela,70,1704011651
70_shared_data_microbench,shared_data_microbench,70,7355370022
70_fill_private_microbench,fill_private_microbench,70,66877050001
70_flush_and_reload,flush_and_reload,70,627544850
40_502_gcc_r,502_gcc_r,40,1704011560
70_noah_scs,noah_scs,70,28528860061
40_502xleela,502xleela,40,1704011798
40_527_cam4_r,527_cam4_r,40,1704012117
70_program,program,70,12162982151
40_527xleela,527xleela,40,1704011034
40_541_leela_r,541_leela_r,40,1649012535
40_557_xz_r,557_xz_r,40,1704011924
40_557xleela,557xleela,40,1704011421
40_fill_private_microbench,fill_private_microbench,40,66877050002
40_flush_and_reload,flush_and_reload,40,626132808
40_noah_scs,noah_scs,40,28532420080
40_program,program,40,12163302155
40_shared_data_microbench,shared_data_microbench,40,7355130006
10_502_gcc_r,502_gcc_r,10,2529012012
10_502xleela,502xleela,10,2529010174
10_527_cam4_r,527_cam4_r,10,2474012595
10_527xleela,527xleela,10,2529011892
10_541_leela_r,541_leela_r,10,2529011576
10_557_xz_r,557_xz_r,10,2529010141
10_557xleela,557xleela,10,2529011444
10_fill_private_microbench,fill_private_microbench,10,86896890003
10_flush_and_reload,flush_and_reload,10,618463092
10_noah_scs,noah_scs,10,33608490075
10_program,program,10,no_data
10_shared_data_microbench,shared_data_microbench,10,7354720009
75_502_gcc_r,502_gcc_r,75,1539011594
75_502xleela,502xleela,75,1539011880
75_527_cam4_r,527_cam4_r,75,1539012210
75_527xleela,527xleela,75,1539012031
75_541_leela_r,541_leela_r,75,1539011927
75_557_xz_r,557_xz_r,75,1539012089
75_557xleela,557xleela,75,1539012105
75_fill_private_microbench,fill_private_microbench,75,66877050006
75_flush_and_reload,flush_and_reload,75,628506423
75_noah_scs,noah_scs,75,21008290047
75_program,program,75,12162922379
75_shared_data_microbench,shared_data_microbench,75,7355400033
80_502_gcc_r,502_gcc_r,80,1539011818
80_502xleela,502xleela,80,1539012139
80_527_cam4_r,527_cam4_r,80,1539012444
80_527xleela,527xleela,80,1539012257
80_557_xz_r,557_xz_r,80,1539011627
80_541_leela_r,541_leela_r,80,1539011844
80_557xleela,557xleela,80,1539012245
80_fill_private_microbench,fill_private_microbench,80,66877050006
80_flush_and_reload,flush_and_reload,80,629624126
80_noah_scs,noah_scs,80,20976510041
80_program,program,80,12163022122
80_shared_data_microbench,shared_data_microbench,80,7355510011
50_502_gcc_r,502_gcc_r,50,1649012470
50_502xleela,502xleela,50,1649012675
50_527_cam4_r,527_cam4_r,50,1704011334
50_527xleela,527xleela,50,1704010180
50_541_leela_r,541_leela_r,50,1704011552
50_557_xz_r,557_xz_r,50,1649012562
50_557xleela,557xleela,50,1649012476
50_fill_private_microbench,fill_private_microbench,50,66877050002
50_flush_and_reload,flush_and_reload,50,625324928
50_program,program,50,12163352293
50_noah_scs,noah_scs,50,28522160082
50_shared_data_microbench,shared_data_microbench,50,7355050009
20_502_gcc_r,502_gcc_r,20,2034012138
20_502xleela,502xleela,20,2034012029
20_527_cam4_r,527_cam4_r,20,2034012254
20_557_xz_r,557_xz_r,20,2034012035
20_527xleela,527xleela,20,2034012298
20_541_leela_r,541_leela_r,20,2034012205
20_557xleela,557xleela,20,2034012185
20_fill_private_microbench,fill_private_microbench,20,77988140007
20_flush_and_reload,flush_and_reload,20,622564047
20_noah_scs,noah_scs,20,31132710055
20_program,program,20,12164342237
20_shared_data_microbench,shared_data_microbench,20,7354720033
25_502_gcc_r,502_gcc_r,25,2034012291
25_502xleela,502xleela,25,2034012367
25_527_cam4_r,527_cam4_r,25,2034011348
25_527xleela,527xleela,25,2034012134
25_541_leela_r,541_leela_r,25,2034012251
25_557_xz_r,557_xz_r,25,2034012280
25_557xleela,557xleela,25,2034012158
25_flush_and_reload,flush_and_reload,25,622909469
25_fill_private_microbench,fill_private_microbench,25,77915280003
25_noah_scs,noah_scs,25,31163520050
25_program,program,25,12164342249
90_502_gcc_r,502_gcc_r,90,1594012439
25_shared_data_microbench,shared_data_microbench,25,7355110016
90_502xleela,502xleela,90,1594011903
90_527_cam4_r,527_cam4_r,90,1594012110
90_527xleela,527xleela,90,1594011861
90_541_leela_r,541_leela_r,90,1594010579
90_557xleela,557xleela,90,1594011960
90_557_xz_r,557_xz_r,90,1594010172
90_shared_data_microbench,shared_data_microbench,90,7354990016
90_noah_scs,noah_scs,90,20993110030
60_502_gcc_r,502_gcc_r,60,1649012833
90_flush_and_reload,flush_and_reload,90,627844646
90_fill_private_microbench,fill_private_microbench,90,66894330005
90_program,program,90,12163362335
60_502xleela,502xleela,60,1704010132
60_527xleela,527xleela,60,1704010057
60_fill_private_microbench,fill_private_microbench,60,66877050002
30_502xleela,502xleela,30,2034012366
60_program,program,60,12163352335
60_flush_and_reload,flush_and_reload,60,626173721
60_shared_data_microbench,shared_data_microbench,60,7355180029
30_527xleela,527xleela,30,2034012079
30_502_gcc_r,502_gcc_r,30,2034012225
60_noah_scs,noah_scs,60,28544140063
30_shared_data_microbench,shared_data_microbench,30,7355620010
30_program,program,30,12164362315
