Test Name,Benchmark,Percentage,AMAT,Max Cycle Count,L3 Accesses,L2 Private Hit Rate,L2 Shared Hit Rate,L2 MPKI,L2S MPKI,L2P MPKI
0_4xgapbs,4xgapbs,0,4.04610944175582,12330058232,42271438,0.005640136258657629,0,0.42271409572054347,0.0,0.42271409572054347
0_502_gcc_r,502_gcc_r,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_502xleela,502xleela,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_527_cam4_r,527_cam4_r,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_527xleela,527xleela,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_541_leela_r,541_leela_r,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_557_xz_r,557_xz_r,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_557xleela,557xleela,0,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
0_fill_private_microbench,fill_private_microbench,0,7.061843089165741,80935947268,7615182567,0.3145312695001305,0,76.15181543367297,0.0,76.15181543367297
0_flush_and_reload,flush_and_reload,0,6.97252463991167,724530538,132162723,2.3008984384185907e-05,0,31.435438626953907,0.0,31.435438626953907
0_noah_scs,noah_scs,0,13.031880588393287,27625993006,8997382398,3.5688144751605033e-07,0,89.97381089150973,0.0,89.97381089150973
0_program,program,0,4.982216326352479,14657743309,951938794,3.1582965854576375e-05,0,9.519384961289253,0.0,9.519384961289253
0_shared_data_microbench,shared_data_microbench,0,5.369846977573983,7738866708,2625008281,2.046846496136359e-06,0,26.25007124553111,0.0,26.25007124553111
100_502_gcc_r,502_gcc_r,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_502xleela,502xleela,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_527_cam4_r,527_cam4_r,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_527xleela,527xleela,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_541_leela_r,541_leela_r,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_557_xz_r,557_xz_r,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_557xleela,557xleela,100,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
100_fill_private_microbench,fill_private_microbench,100,5.110813992667808,66704347783,8081,0,0.9999992726013007,8.080999934867141e-05,8.080999934867141e-05,0.0
100_noah_scs,noah_scs,100,10.14468609092671,17037409746,5055454651,0,0.43811987993623225,50.554516044332,50.554516044332,0.0
100_flush_and_reload,flush_and_reload,100,6.972531858351995,710538654,132163354,0,2.0186731503502465e-05,31.43558871285804,31.43558871285804,0.0
100_program,program,100,4.9822261231108165,14234763589,951955991,0,2.829357466858602e-05,9.519556947133095,9.519556947133095,0.0
100_shared_data_microbench,shared_data_microbench,100,4.668422951033055,7324636543,19234,0,0.9999959412072068,0.00019233978638935663,0.00019233978638935663,0.0
70_502_gcc_r,502_gcc_r,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_557_xz_r,557_xz_r,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_502xleela,502xleela,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_527xleela,527xleela,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_527_cam4_r,527_cam4_r,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_541_leela_r,541_leela_r,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_557xleela,557xleela,70,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_shared_data_microbench,shared_data_microbench,70,4.593260597473399,7355506299,19198,6.799877682754107e-08,0.9999954355223556,42.05973930258118,0.0001919798634888785,42.05954732271769
70_fill_private_microbench,fill_private_microbench,70,5.097400116508363,66877188100,8096,0.04025291495313418,0.9999992406866133,106.62271959958149,8.095999684094092e-05,106.62263863958465
70_flush_and_reload,flush_and_reload,70,6.972556127734741,722180722,132165641,2.595185325929363e-06,1.3929296163787095e-05,62.87270325943238,31.43613268506524,31.436570574367142
40_502_gcc_r,502_gcc_r,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_noah_scs,noah_scs,70,13.481547569757563,28532005145,9354545747,3.033842999429883e-08,0.034686258898164145,190.45218737729024,93.54542720244157,96.90676017484867
40_502xleela,502xleela,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
40_527_cam4_r,527_cam4_r,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
70_program,program,70,4.982235739907611,14657888977,951977877,1.1506291776162406e-05,1.2666100298633934e-05,19.0396705210771,9.519774970562612,9.519895550514487
40_527xleela,527xleela,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
40_541_leela_r,541_leela_r,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
40_557_xz_r,557_xz_r,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
40_557xleela,557xleela,40,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
40_fill_private_microbench,fill_private_microbench,40,5.0630895625658106,66877187154,8099,0.14321256740229046,0.9999991491251911,95.18446576554992,8.098999521430118e-05,95.1843847755547
40_flush_and_reload,flush_and_reload,40,6.973622549540009,719317975,132264066,1.504542360817338e-05,5.821683659190988e-07,62.91910525419136,31.459543469714838,31.459561784476517
40_noah_scs,noah_scs,40,13.483083900428548,28535576176,9356705178,1.827562722119539e-07,0.034445583833867664,190.47205171716854,93.5670511989486,96.90500051821994
40_program,program,40,4.983091847480418,14658301821,953703044,1.9822330122151154e-05,4.5926224268519553e-07,19.074062763777405,9.53702919188899,9.537033571888417
40_shared_data_microbench,shared_data_microbench,40,4.592936944444784,7355267273,19213,6.139885828116499e-07,0.9999954294576193,42.03672198368173,0.00019212974123390062,42.0365298539405
10_502_gcc_r,502_gcc_r,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_502xleela,502xleela,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_527_cam4_r,527_cam4_r,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_527xleela,527xleela,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_541_leela_r,541_leela_r,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_557_xz_r,557_xz_r,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_557xleela,557xleela,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_fill_private_microbench,fill_private_microbench,10,8.11602091462641,86897027455,11125190627,3.128036190295055e-08,1.7977220046788287e-10,222.5037922832294,111.2518961316147,111.2518961516147
10_flush_and_reload,flush_and_reload,10,6.976554314489893,703853193,132535721,1.5090271171644796e-08,0.0,63.04831542211167,31.524157711055835,31.524157711055835
10_noah_scs,noah_scs,10,15.859113099157321,33611645071,11814186342,0.0,0.0,236.28366374753608,118.14183187376804,118.14183187376804
10_program,program,10,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
10_shared_data_microbench,shared_data_microbench,10,4.589288880195302,7354856452,23136,6.632700144070194e-07,0.9999944621345249,41.77802543747849,0.00023135980344827898,41.77779407767504
75_502_gcc_r,502_gcc_r,75,no_data,no_data,no_data,no_data,no_data,no_data,no_data,no_data
