node_number,shared_percentage,process_file,num_cores,num_clusters
0,0,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
1,0,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
2,0,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
3,0,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
4,0,/users/ngaertne/CNC/workloads/527xleela.csv,16,4
5,0,/users/ngaertne/CNC/workloads/541_leela_r.csv,16,4
6,0,/users/ngaertne/CNC/workloads/557_xz_r.csv,16,4
7,0,/users/ngaertne/CNC/workloads/557xleela.csv,16,4
8,0,/users/ngaertne/CNC/workloads/fill_private_microbench.csv,16,4
9,0,/users/ngaertne/CNC/workloads/flush_and_reload.csv,16,4
0,0,/users/ngaertne/CNC/workloads/gapbs_all_cores.csv,16,4
10,0,/users/ngaertne/CNC/workloads/noah_scs.csv,16,4
11,0,/users/ngaertne/CNC/workloads/program.csv,16,4
12,0,/users/ngaertne/CNC/workloads/shared_data_microbench.csv,16,4
0,100,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
13,100,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
14,100,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
15,100,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
16,100,/users/ngaertne/CNC/workloads/527xleela.csv,16,4
17,100,/users/ngaertne/CNC/workloads/541_leela_r.csv,16,4
18,100,/users/ngaertne/CNC/workloads/557_xz_r.csv,16,4
19,100,/users/ngaertne/CNC/workloads/557xleela.csv,16,4
20,100,/users/ngaertne/CNC/workloads/fill_private_microbench.csv,16,4
21,100,/users/ngaertne/CNC/workloads/flush_and_reload.csv,16,4
0,100,/users/ngaertne/CNC/workloads/gapbs_all_cores.csv,16,4
22,100,/users/ngaertne/CNC/workloads/noah_scs.csv,16,4
23,100,/users/ngaertne/CNC/workloads/program.csv,16,4
24,100,/users/ngaertne/CNC/workloads/shared_data_microbench.csv,16,4
0,70,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
25,70,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
26,70,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
27,70,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
28,70,/users/ngaertne/CNC/workloads/527xleela.csv,16,4
29,70,/users/ngaertne/CNC/workloads/541_leela_r.csv,16,4
30,70,/users/ngaertne/CNC/workloads/557_xz_r.csv,16,4
31,70,/users/ngaertne/CNC/workloads/557xleela.csv,16,4
32,70,/users/ngaertne/CNC/workloads/fill_private_microbench.csv,16,4
33,70,/users/ngaertne/CNC/workloads/flush_and_reload.csv,16,4
0,70,/users/ngaertne/CNC/workloads/gapbs_all_cores.csv,16,4
34,70,/users/ngaertne/CNC/workloads/noah_scs.csv,16,4
35,70,/users/ngaertne/CNC/workloads/program.csv,16,4
36,70,/users/ngaertne/CNC/workloads/shared_data_microbench.csv,16,4
0,40,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
37,40,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
38,40,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
39,40,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
40,40,/users/ngaertne/CNC/workloads/527xleela.csv,16,4
41,40,/users/ngaertne/CNC/workloads/541_leela_r.csv,16,4
42,40,/users/ngaertne/CNC/workloads/557_xz_r.csv,16,4
43,40,/users/ngaertne/CNC/workloads/557xleela.csv,16,4
44,40,/users/ngaertne/CNC/workloads/fill_private_microbench.csv,16,4
45,40,/users/ngaertne/CNC/workloads/flush_and_reload.csv,16,4
0,40,/users/ngaertne/CNC/workloads/gapbs_all_cores.csv,16,4
46,40,/users/ngaertne/CNC/workloads/noah_scs.csv,16,4
47,40,/users/ngaertne/CNC/workloads/program.csv,16,4
48,40,/users/ngaertne/CNC/workloads/shared_data_microbench.csv,16,4
0,10,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
49,10,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
50,10,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
51,10,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
52,10,/users/ngaertne/CNC/workloads/527xleela.csv,16,4
53,10,/users/ngaertne/CNC/workloads/541_leela_r.csv,16,4
54,10,/users/ngaertne/CNC/workloads/557_xz_r.csv,16,4
55,10,/users/ngaertne/CNC/workloads/557xleela.csv,16,4
56,10,/users/ngaertne/CNC/workloads/fill_private_microbench.csv,16,4
57,10,/users/ngaertne/CNC/workloads/flush_and_reload.csv,16,4
0,10,/users/ngaertne/CNC/workloads/gapbs_all_cores.csv,16,4
58,10,/users/ngaertne/CNC/workloads/noah_scs.csv,16,4
59,10,/users/ngaertne/CNC/workloads/program.csv,16,4
60,10,/users/ngaertne/CNC/workloads/shared_data_microbench.csv,16,4
0,75,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
61,75,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
62,75,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
63,75,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
64,75,/users/ngaertne/CNC/workloads/527xleela.csv,16,4
65,75,/users/ngaertne/CNC/workloads/541_leela_r.csv,16,4
66,75,/users/ngaertne/CNC/workloads/557_xz_r.csv,16,4
67,75,/users/ngaertne/CNC/workloads/557xleela.csv,16,4
68,75,/users/ngaertne/CNC/workloads/fill_private_microbench.csv,16,4
69,75,/users/ngaertne/CNC/workloads/flush_and_reload.csv,16,4
0,75,/users/ngaertne/CNC/workloads/gapbs_all_cores.csv,16,4
70,75,/users/ngaertne/CNC/workloads/noah_scs.csv,16,4
71,75,/users/ngaertne/CNC/workloads/program.csv,16,4
72,75,/users/ngaertne/CNC/workloads/shared_data_microbench.csv,16,4
0,80,/users/ngaertne/CNC/workloads/4xgapbs.csv,16,4
73,80,/users/ngaertne/CNC/workloads/502_gcc_r.csv,16,4
74,80,/users/ngaertne/CNC/workloads/502xleela.csv,16,4
75,80,/users/ngaertne/CNC/workloads/527_cam4_r.csv,16,4
